Web Search interest: ebola
United States; Uzbekistan
Past 90 days

Interest over time
Day,United States
2014-07-30,13
2014-07-31,16
2014-08-01,26
2014-08-02,31
2014-08-03,22
2014-08-04,21
2014-08-05,26
2014-08-06,20
2014-08-07,15
2014-08-08,15
2014-08-09,11
2014-08-10,8
2014-08-11,7
2014-08-12,6
2014-08-13,5
2014-08-14,5
2014-08-15,5
2014-08-16,4
2014-08-17,4
2014-08-18,5
2014-08-19,4
2014-08-20,7
2014-08-21,7
2014-08-22,5
2014-08-23,3
2014-08-24,3
2014-08-25,3
2014-08-26,3
2014-08-27,3
2014-08-28,3
2014-08-29,3
2014-08-30,3
2014-08-31,2
2014-09-01,2
2014-09-02,3
2014-09-03,4
2014-09-04,3
2014-09-05,4
2014-09-06,3
2014-09-07,2
2014-09-08,3
2014-09-09,3
2014-09-10,3
2014-09-11,3
2014-09-12,3
2014-09-13,2
2014-09-14,2
2014-09-15,3
2014-09-16,5
2014-09-17,4
2014-09-18,3
2014-09-19,4
2014-09-20,3
2014-09-21,2
2014-09-22,3
2014-09-23,4
2014-09-24,4
2014-09-25,4
2014-09-26,3
2014-09-27,3
2014-09-28,5
2014-09-29,4
2014-09-30,29
2014-10-01,53
2014-10-02,66
2014-10-03,63
2014-10-04,48
2014-10-05,41
2014-10-06,41
2014-10-07,34
2014-10-08,55
2014-10-09,56
2014-10-10,40
2014-10-11,28
2014-10-12,45
2014-10-13,51
2014-10-14,55
2014-10-15,91
2014-10-16,100
2014-10-17,82
2014-10-18,51
2014-10-19,37
2014-10-20,34
2014-10-21,34
2014-10-22,26
2014-10-23,22
2014-10-24,51
2014-10-25,23
2014-10-26,19
2014-10-27,24
2014-10-28, 
2014-10-29, 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,92
District of Columbia,90
Louisiana,74
South Dakota,73
New York,73
Delaware,69
Connecticut,69
Ohio,69
Wyoming,68
Georgia,68
Maryland,68
Mississippi,67
West Virginia,67
North Dakota,67
Arkansas,67
Rhode Island,66
Kentucky,65
Alabama,65
New Jersey,65
Vermont,65
Maine,64
Tennessee,63
Alaska,63
Massachusetts,62
Virginia,62
Nebraska,62
Montana,62
Illinois,61
North Carolina,61
Missouri,61
Florida,60
Pennsylvania,59
California,59
South Carolina,59
Michigan,59
Hawaii,59
New Mexico,59
Minnesota,58
Kansas,58
New Hampshire,57
Arizona,56
Washington,56
Wisconsin,56
Iowa,56
Colorado,55
Indiana,55
Nevada,55
Idaho,53
Utah,48
Oregon,34



Top cities for United States
City,United States
Goldsby,100
Dallas,73
Fresno,70
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,54
Alexandria,53
Westland,52
Houston,50
Chicago,48
Atlanta,48

Top cities for Uzbekistan
City,Uzbekistan
Tashkent,100



Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,35
ebola us,30
what is ebola,30
ebola news,25
news,25
ebola in us,20
ebola dallas,15
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
africa ebola,10
africa,10
cdc ebola,10
cdc,10
the ebola virus,10
ebola spread,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
ebola zombie,5
who ebola,5
airborne ebola,5
ebola cure,5
ebola disease,5
ebola map,5
ebola in texas,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola patients,5
ebola update,5
ebola death,5
ebola in usa,5
ebola nyc,5
ebola in dallas,5
ebola vaccine,5
where is ebola,5
ebola virus outbreak,5
ebola us cases,5
2014 ebola outbreak,5
duncan ebola,5
ebola victim,5
ebola united states,5
liberia ebola,5
ebola ny,5




Rising searches for United States
ebola dallas,Breakout
ebola nurse,Breakout
ebola patient,+1,100%
texas ebola,+900%
ebola cases,+400%
ebola in us,+250%
ebola us,+170%
ebola usa,+90%
symptoms of ebola,+90%
cdc,+80%




