Web Search interest: ebola
Egypt; United States
Past 90 days

Interest over time
Day,Egypt,United States
2014-07-30,0,13
2014-07-31,1,16
2014-08-01,1,26
2014-08-02,1,31
2014-08-03,1,22
2014-08-04,1,21
2014-08-05,1,26
2014-08-06,1,20
2014-08-07,1,15
2014-08-08,1,15
2014-08-09,1,11
2014-08-10,1,8
2014-08-11,1,7
2014-08-12,1,6
2014-08-13,0,5
2014-08-14,0,5
2014-08-15,0,5
2014-08-16,0,4
2014-08-17,0,4
2014-08-18,0,5
2014-08-19,0,4
2014-08-20,0,7
2014-08-21,0,7
2014-08-22,0,5
2014-08-23,0,3
2014-08-24,0,3
2014-08-25,0,3
2014-08-26,1,3
2014-08-27,0,3
2014-08-28,0,3
2014-08-29,0,3
2014-08-30,0,3
2014-08-31,0,2
2014-09-01,0,2
2014-09-02,0,3
2014-09-03,0,4
2014-09-04,0,3
2014-09-05,0,4
2014-09-06,0,3
2014-09-07,0,2
2014-09-08,0,3
2014-09-09,0,3
2014-09-10,0,3
2014-09-11,0,3
2014-09-12,0,3
2014-09-13,0,2
2014-09-14,0,2
2014-09-15,0,3
2014-09-16,0,5
2014-09-17,0,4
2014-09-18,0,3
2014-09-19,0,4
2014-09-20,0,3
2014-09-21,0,2
2014-09-22,0,3
2014-09-23,0,4
2014-09-24,1,4
2014-09-25,0,4
2014-09-26,0,3
2014-09-27,0,3
2014-09-28,0,5
2014-09-29,0,4
2014-09-30,0,29
2014-10-01,1,53
2014-10-02,1,66
2014-10-03,1,63
2014-10-04,1,48
2014-10-05,1,41
2014-10-06,1,41
2014-10-07,1,34
2014-10-08,1,55
2014-10-09,2,56
2014-10-10,2,40
2014-10-11,1,28
2014-10-12,2,45
2014-10-13,1,51
2014-10-14,1,55
2014-10-15,2,91
2014-10-16,2,100
2014-10-17,1,82
2014-10-18,1,51
2014-10-19,1,37
2014-10-20,1,34
2014-10-21,1,34
2014-10-22,1,26
2014-10-23,1,22
2014-10-24,1,51
2014-10-25,1,23
2014-10-26,1,19
2014-10-27,1,24
2014-10-28, , 
2014-10-29, , 


Top subregions for Egypt
Subregion,Egypt
Cairo Governorate,100
Giza,92
Alexandria Governorate,76
Aswan,0
Assiut,0
Red Sea Governate,0
Beheira,0
Bani Sweif Governorate,0
Daqahlia,0
Damietta,0
Faiyum,0
Gharbia,0
Ismailia,0
South Sinai,0
Qalyubia,0
Kafr El-Shaikh,0
Qena,0
Luxor,0
Minya,0
Menufia,0
Matrouh,0
Port Said,0
Sohag,0
Ash Sharqiyah,0
North Sinai Governorate,0
Suez,0
New Valley Governorate,0

Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,88
Louisiana,73
New York,72
South Dakota,70
Wyoming,70
Georgia,68
Connecticut,68
Mississippi,68
West Virginia,68
Delaware,67
Ohio,67
Maryland,66
North Dakota,66
Arkansas,66
Kentucky,65
Rhode Island,65
Alaska,64
New Jersey,64
Vermont,64
Alabama,64
Maine,63
Illinois,62
Massachusetts,62
Tennessee,61
Montana,61
Virginia,61
Pennsylvania,60
Missouri,60
North Carolina,59
Nebraska,59
South Carolina,59
Florida,58
California,58
Kansas,58
Hawaii,57
New Mexico,57
Michigan,57
Minnesota,57
Arizona,56
New Hampshire,56
Colorado,55
Wisconsin,55
Iowa,55
Washington,55
Nevada,53
Indiana,53
Idaho,52
Utah,47
Oregon,33


Top cities for Egypt
City,Egypt
Cairo,100
Giza,74
Alexandria,70

Top cities for United States
City,United States
Goldsby,100
Dallas,72
Fresno,71
Richardson,70
Plano,64
Washington,63
New York,58
Grapevine,54
New Orleans,54
Austin,53
Alexandria,53
Westland,52
Houston,50
Atlanta,47
Chicago,47



Top searches for Egypt
ebola virus,100

Top searches for United States
ebola virus,100
ebola symptoms,50
ebola outbreak,40
what is ebola,30
ebola us,30
news ebola,25
news,25
ebola in us,20
dallas ebola,20
texas ebola,15
symptoms of ebola,15
ebola 2014,15
ebola patient,15
cdc,10
ebola africa,10
cdc ebola,10
africa,10
ebola spread,10
the ebola virus,10
ebola cases,10
ebola usa,10
ebola nurse,10
new york ebola,10
airborne ebola,10
who ebola,5
ebola disease,5
ebola zombie,5
ebola cure,5
ebola in texas,5
ebola map,5
cnn ebola,5
cnn,5
ebola virus symptoms,5
ebola in africa,5
ebola update,5
ebola patients,5
ebola death,5
nyc ebola,5
ebola in usa,5
ebola in dallas,5
ebola vaccine,5
ebola virus outbreak,5
where is ebola,5
ebola outbreak 2014,5
ebola victim,5
ebola united states,5
ebola ny,5
obama ebola,5
liberia ebola,5
liberia,5




Rising searches for United States
ebola nurse,Breakout
dallas ebola,+1,900%
ebola patient,+850%
texas ebola,+750%
ebola cases,+350%
ebola in us,+200%
ebola us,+150%
symptoms of ebola,+130%
ebola usa,+90%
cdc,+80%



